Num;code;Replace;sym
1777;🇹🇲;emojFlagTurkmenistan;2
1778;🇹🇳;emojFlagTunisia;2
1779;🇹🇴;emojFlagTonga;2
1780;🇹🇷;emojFlagTurkey;2
1781;🇹🇹;emojFlagTrinidadTobago;2
1782;🇹🇻;emojFlagTuvalu;2
1783;🇹🇼;emojFlagTaiwan;2
1784;🇹🇿;emojFlagTanzania;2
1785;🇺🇦;emojFlagUkraine;2
1786;🇺🇬;emojFlagUganda;2
1787;🇺🇲;emojFlagUSOutlyingIslands;2
1788;🇺🇳;emojFlagUnitedNations;2
1789;🇺🇸;emojFlagUnitedStates;2
1790;🇺🇾;emojFlagUruguay;2
1791;🇺🇿;emojFlagUzbekistan;2
1792;🇻🇦;emojFlagVaticanCity;2
1793;🇻🇨;emojFlagStVincentGrenadines;2
1794;🇻🇪;emojFlagVenezuela;2
1795;🇻🇬;emojFlagBritishVirginIslands;2
1796;🇻🇮;emojFlagUSVirginIslands;2
1797;🇻🇳;emojFlagVietnam;2
1798;🇻🇺;emojFlagVanuatu;2
1799;🇼🇫;emojFlagWallisFutuna;2
1800;🇼🇸;emojFlagSamoa;2
1801;🇽🇰;emojFlagKosovo;2
1802;🇾🇪;emojFlagYemen;2
1803;🇾🇹;emojFlagMayotte;2
1804;🇿🇦;emojFlagSouthAfrica;2
1805;🇿🇲;emojFlagZambia;2
1806;🇿🇼;emojFlagZimbabwe;2
1;😀;emojgrinningface;1
2;😃;emojgrinningfacewithbigeyes;1
3;😄;emojgrinningfacewithsmilingeyes;1
4;😁;emojbeamingfacewithsmilingeyes;1
5;😆;emojgrinningsquintingface;1
6;😅;emojgrinningfacewithsweat;1
7;🤣;emojrollingonthefloorlaughing;1
8;😂;emojfacewithtearsofjoy;1
9;🙂;emojslightlysmilingface;1
10;🙃;emojupsidedownface;1
11;😉;emojwinkingface;1
12;😊;emojsmilingfacewithsmilingeyes;1
13;😇;emojsmilingfacewithhalo;1
14;🥰;emojsmilingfacewithhearts;1
15;😍;emojsmilingfacewithhearteyes;1
16;🤩;emojstarstruck;1
17;😘;emojfaceblowingakiss;1
18;😗;emojkissingface;1
19;☺;emojsmilingface;1
20;😚;emojkissingfacewithclosedeyes;1
21;😙;emojkissingfacewithsmilingeyes;1
22;🥲;emojsmilingfacewithtear;1
23;😋;emojfacesavoringfood;1
24;😛;emojfacewithtongue;1
25;😜;emojwinkingfacewithtongue;1
26;🤪;emojzanyface;1
27;😝;emojsquintingfacewithtongue;1
28;🤑;emojmoneymouthface;1
29;🤗;emojhuggingface;1
30;🤭;emojfacewithhandovermouth;1
31;🤫;emojshushingface;1
32;🤔;emojthinkingface;1
33;🤐;emojzippermouthface;1
34;🤨;emojfacewithraisedeyebrow;1
35;😐;emojneutralface;1
36;😑;emojexpressionlessface;1
37;😶;emojfacewithoutmouth;1
38;😏;emojsmirkingface;1
39;😒;emojunamusedface;1
40;🙄;emojfacewithrollingeyes;1
41;😬;emojgrimacingface;1
42;🤥;emojlyingface;1
43;😌;emojrelievedface;1
44;😔;emojpensiveface;1
45;😪;emojsleepyface;1
46;🤤;emojdroolingface;1
47;😴;emojsleepingface;1
48;😷;emojfacewithmedicalmask;1
49;🤒;emojfacewiththermometer;1
50;🤕;emojfacewithheadbandage;1
51;🤢;emojnauseatedface;1
52;🤮;emojfacevomiting;1
53;🤧;emojsneezingface;1
54;🥵;emojhotface;1
55;🥶;emojcoldface;1
56;🥴;emojwoozyface;1
57;😵;emojdizzyface;1
58;🤯;emojexplodinghead;1
59;🤠;emojcowboyhatface;1
60;🥳;emojpartyingface;1
61;🥸;emojdisguisedface;1
62;😎;emojsmilingfacewithsunglasses;1
63;🤓;emojnerdface;1
64;🧐;emojfacewithmonocle;1
65;😕;emojconfusedface;1
66;😟;emojworriedface;1
67;🙁;emojslightlyfrowningface;1
68;☹;emojfrowningface;1
69;😮;emojfacewithopenmouth;1
70;😯;emojhushedface;1
71;😲;emojastonishedface;1
72;😳;emojflushedface;1
73;🥺;emojpleadingface;1
74;😦;emojfrowningfacewithopenmouth;1
75;😧;emojanguishedface;1
76;😨;emojfearfulface;1
77;😰;emojanxiousfacewithsweat;1
78;😥;emojsadbutrelievedface;1
79;😢;emojcryingface;1
80;😭;emojloudlycryingface;1
81;😱;emojfacescreaminginfear;1
82;😖;emojconfoundedface;1
83;😣;emojperseveringface;1
84;😞;emojdisappointedface;1
85;😓;emojdowncastfacewithsweat;1
86;😩;emojwearyface;1
87;😫;emojtiredface;1
88;🥱;emojyawningface;1
89;😤;emojfacewithsteamfromnose;1
90;😡;emojpoutingface;1
91;😠;emojangryface;1
92;🤬;emojfacewithsymbolsonmouth;1
93;😈;emojsmilingfacewithhorns;1
94;👿;emojangryfacewithhorns;1
95;💀;emojskull;1
96;☠;emojskullandcrossbones;1
97;💩;emojpileofpoo;1
98;🤡;emojclownface;1
99;👹;emojogre;1
100;👺;emojgoblin;1
101;👻;emojghost;1
102;👽;emojalien;1
103;👾;emojalienmonster;1
104;🤖;emojrobot;1
105;😺;emojgrinningcat;1
106;😸;emojgrinningcatwithsmilingeyes;1
107;😹;emojcatwithtearsofjoy;1
108;😻;emojsmilingcatwithhearteyes;1
109;😼;emojcatwithwrysmile;1
110;😽;emojkissingcat;1
111;🙀;emojwearycat;1
112;😿;emojcryingcat;1
113;😾;emojpoutingcat;1
114;🙈;emojseenoevilmonkey;1
115;🙉;emojhearnoevilmonkey;1
116;🙊;emojspeaknoevilmonkey;1
117;💋;emojkissmark;1
118;💌;emojloveletter;1
119;💘;emojheartwitharrow;1
120;💝;emojheartwithribbon;1
121;💖;emojsparklingheart;1
122;💗;emojgrowingheart;1
